id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"- Thời gian xử lý và khắc phục (resolution) SLA của ticket P1: 4 giờ [1].  
(Đã cập nhật từ 6 giờ xuống 4 giờ từ phiên bản v2026.1) [2].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Every piece of information in the answer is directly supported by the context. The SLA for ticket P1 is correctly stated as 4 hours, and the update from 6 hours to 4 hours in version v2026.1 is accurately referenced.",5,"The answer directly and accurately provides the SLA for processing P1 tickets, specifying the time as 4 hours and mentioning the update from a previous version, which is relevant to the user's query.",5,Retrieved: 1/1 expected sources,3,"The generated answer provides the resolution time of 4 hours but omits the initial response time of 15 minutes, which is a critical part of the expected answer.",variant_hybrid_rerank_auto
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng **7 ngày kể từ thời điểm xác nhận đơn hàng** nếu đáp ứng đủ các điều kiện: sản phẩm bị lỗi do nhà sản xuất, chưa sử dụng/chưa mở seal, và không thuộc các ngoại lệ quy định [1][2].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Every piece of information in the answer is directly supported by the context. The answer correctly states the 7-day timeframe for refund requests, the conditions for eligibility (product defect, unused/unopened), and acknowledges the exceptions outlined in the retrieved context.",5,"The answer directly and accurately addresses the user query by specifying that customers can request a refund within 7 days from the order confirmation, while also mentioning the conditions that must be met for the refund to be applicable.",5,Retrieved: 1/1 expected sources,4,"The generated answer includes the timeframe of 7 days and the condition of the product, which adds important context. However, it introduces additional conditions that were not mentioned in the expected answer, which could be seen as a minor deviation from the original simplicity of the expected response.",variant_hybrid_rerank_auto
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Line Manager, IT Admin và IT Security đều phải phê duyệt để cấp quyền Level 3 [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The generated answer accurately states that Line Manager, IT Admin, and IT Security must approve access for Level 3, which is directly supported by the retrieved context. There are no inaccuracies or unsupported claims in the answer.",5,"The answer directly and accurately addresses the user query by specifying the roles (Line Manager, IT Admin, and IT Security) that need to approve the granting of Level 3 access.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately includes all key points from the expected answer, stating that approval is required from Line Manager, IT Admin, and IT Security for Level 3 access.",variant_hybrid_rerank_auto
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không.  
Theo nội dung quy định, “sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)” nằm trong nhóm “ngoại lệ không được hoàn tiền” [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Every piece of information in the answer is directly supported by the context. The generated answer correctly states that products in the category of digital goods (license key, subscription) are included in the exceptions for non-refundable items, as specified in the retrieved context.",5,"The answer directly and accurately addresses the user's query about whether digital products can be refunded, providing a clear explanation that they are generally non-refundable due to specific regulations.",5,Retrieved: 1/1 expected sources,5,"The generated answer fully covers all key points and nuances present in the expected answer, including the specific mention of digital products being non-refundable and the categorization of license keys and subscriptions as exceptions.",variant_hybrid_rerank_auto
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản sẽ bị khóa sau 5 lần đăng nhập sai liên tiến [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The generated answer accurately reflects the information provided in the retrieved context, stating that the account will be locked after 5 consecutive failed login attempts, which is directly supported by the context.",5,The answer directly and accurately addresses the user query by stating that the account will be locked after 5 consecutive failed login attempts.,5,Retrieved: 1/1 expected sources,5,"The generated answer accurately states that the account will be locked after 5 consecutive failed login attempts, which matches the expected answer in both content and meaning.",variant_hybrid_rerank_auto
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo hai luồng cùng lúc:

1. Luồng hỗ trợ kĩ thuật  
   - Nếu engineer chính không phản hồi trong 10 phút, hệ thống tự động escalate lên Senior Engineer [3].  
   - Trong quá trình xử lý, engineer có thể escalate lấy thêm người/công cụ ngay khi cần [2].

2. Luồng cấp quyền khẩn cấp (nếu xảy ra)  
   - Khi fix incident cần quyền ngoài quy trình, On-call IT Admin được cấp quyền tạm thời tối đa 24 giờ sau khi Tech Lead đồng ý bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền tự động thu hồi; toàn bộ được log trong Security Audit [1].

Tóm lại: P1 sẽ tự động lên Senior Engineer sau 10 phút không phản hồi; nếu cần cấp quyền gấp thì thực hiện thêm quy trình escalation quyền 24 giờ như trên.",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Every piece of information in the generated answer is directly supported by the retrieved context. The escalation process for P1 is accurately described, including the automatic escalation to a Senior Engineer if there is no response within 10 minutes, and the emergency privilege escalation process for On-call IT Admin is also correctly detailed, including the time limits and logging requirements.",5,"The answer directly and accurately explains the escalation process for P1 incidents, detailing both the technical support escalation and the emergency privilege escalation, which fully addresses the user's query.",5,Retrieved: 1/1 expected sources,5,"The generated answer comprehensively covers the escalation process for P1 incidents, including the automatic escalation to a Senior Engineer after 10 minutes of no response, as well as additional details about the technical support flow and emergency privilege escalation. It includes all key points and nuances present in the expected answer.",variant_hybrid_rerank_auto
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Theo ngữ cảnh, tài liệu để cấp quyền hệ thống hiện nay là **Access Control SOP** (thay thế cho tên gọi cũ ""Approval Matrix"") [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The generated answer introduces the term 'Access Control SOP' and mentions it as a replacement for 'Approval Matrix,' which is not supported by the provided context. The context does not mention this specific document name or its previous name, indicating that significant portions of the answer are not supported by the retrieved information.",5,"The answer directly addresses the user query by identifying the relevant document for granting system permissions, specifically mentioning that the 'Approval Matrix' is now referred to as 'Access Control SOP'. This provides a clear and accurate response to the user's question.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately identifies the document as 'Access Control SOP' and notes that it replaces the old name 'Approval Matrix', which aligns perfectly with the expected answer.",variant_hybrid_rerank_auto
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Sau thời gian thử việc, nhân viên có thể làm remote tối đa 2 ngày mỗi tuần [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The generated answer accurately reflects the information in the retrieved context regarding the remote work policy, specifically that employees can work remotely for a maximum of 2 days per week after the probation period.",5,The answer directly and accurately addresses the user query by stating that employees can work remotely a maximum of 2 days per week after the probation period.,5,Retrieved: 1/1 expected sources,4,"The generated answer includes the main point about the maximum number of remote days (2 days/week) and mentions the probation period, but it omits the important detail regarding the requirement for Team Lead approval.",variant_hybrid_rerank_auto
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là mã lỗi “nội bộ” (không phải mã HTTP chuẩn) mà hầu hết các hệ thống đều dùng để chỉ rõ:

“Người dùng đã đăng nhập thành công nhưng KHÔNG có quyền (hoặc token/cookie không hợp lệ) để truy cập vào API/máy chủ cụ thể đó.”

Tóm tắt nguyên nhân thường gặp
1. Token / session hết hạn hoặc bị revoke.  
2. Token mang quyền sai scope/role (ví dụ: role USER lại gọi API dành cho ADMIN).  
3. Đã đổi mật khẩu/reset pass khiến tất cả token trước đó vô hiệu.  
4. Gọi API từ domain chưa được CORS whitelist.  
5. Thiếu, sai hoặc viết sai chữ hoa/thường header Authorization (Bearer …).  
6. BE vừa cập nhật policy mới nhưng FE gọi endpoint cũ chưa được cấp quyền.

Cách kiểm tra & xử lý trước khi gọi Help-desk

1. Đăng xuất → đăng nhập lại, thử lại ngay.  
   - Nếu hết lỗi → nguyên nhân cố định là token cũ.  
2. Mở Dev-Tools (F12) → chọn request bị 403 → xem:  
   - Request headers có Bearer <token>?  
   - Response headers có thêm dòng: `x-error-code: ERR-403-AUTH` hay `x-error-desc: …` gì không?  
3. Kiểm tra trên cùng trình duyệt ẩn/incognito hoặc máy khác (loại trừ cache, extension can thiệp header).  
4. Nếu dùng mobile app, hãy xóa data app, cập nhật lên bản mới nhất.  
5. Kiểm tra quyền tài khoản:  
   - Gọi API profile/info xem role có đúng không.  
   - Nếu đang test bằng local, chuyển về môi trường prod để xác nhận role thật.  
6. Nếu bạn có quyền admin trên trang/dashboard:  
   - Vào mục “Audit log / Security log” của BE, tìm session-id của mình, xem có dòng “Authz denied …” cho đúng resource không.  
7. Kiểm tra thời gian máy client và máy chủ: sai khác >5 phút có thể làm JWT signature fail.  
8. Chụp lại toàn bộ:  
   - Mã lỗi chính xác,  
   - Endpoint đang gọi,  
   - Thời gian xảy ra,  
   - Role/username bị lỗi,  
   - Ảnh response header (có thể bỏ giá trị token đi)  
   rồi mới gửi ticket (sẽ giúp bộ phận vận hành check log nhanh gấp 3-4 lần).

Khi nào cần mở Help-desk?

- Đã thử các bước trên nhưng vẫn tái hiện đúng 100% trên máy khác, account khác.  
- Không có quyền admin để tra log BE.  
- Phát sinh đồng loạt với nhiều user (có thể BE vừa deploy policy mới sai).  

Lưu ý dành cho lập trình viên

Nếu bạn là dev đang build tính năng:

1. Luôn trả rõ 2 HTTP status:","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"Every piece of information in the generated answer is directly supported by the retrieved context. The explanation of the ERR-403-AUTH error, its common causes, troubleshooting steps, and when to contact Help-desk are all accurately reflected in the context provided.",5,"The answer directly and accurately explains what the ERR-403-AUTH error is, provides common causes, and outlines detailed steps for troubleshooting and resolution, fully addressing the user's query.",,No expected sources,5,"The generated answer provides a comprehensive explanation of the ERR-403-AUTH error, including its definition, common causes, troubleshooting steps, and when to contact Help-desk. It covers all key points and nuances that would be relevant to the user's query, aligning well with the expected answer's intent to inform and guide the user.",variant_hybrid_rerank_auto
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có quy trình riêng cho khách VIP. Mọi yêu cầu hoàn tiền đều áp dụng 4 bước chuẩn: gửi ticket → CS Agent xét trong 1 ngày → Finance Team xử lý 3-5 ngày → thông báo kết quả [1].,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Every piece of information in the generated answer is directly supported by the retrieved context. The answer accurately reflects the 4-step refund process outlined in the context and correctly states that there is no separate process for VIP customers.,4,"The answer addresses the user query by stating that there is no separate process for VIP customers and outlines the standard refund procedure. However, it could provide more context or details about why the process is the same for VIP customers, which would enhance the relevance.",5,Retrieved: 1/1 expected sources,4,"The generated answer covers the main points of the expected answer, stating that there is no separate process for VIP customers and outlining the standard refund process. However, it misses the explicit mention that the policy does not specify a special process for VIP customers, which is a minor detail that adds clarity to the expected answer.",variant_hybrid_rerank_auto
